Date,SP500,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM,HD,MA,ORCL,VZ
2013-01-22,139.3483214838,4859.9192284892,2.6431130000,1506.3887632719,219.9276022844,61.3708502388,207.5877293007,9.7437003739,56.1112099054,435.6972892094,69.7550011666,651.3041821195,199.4321408336,70.7709843629,207.8443492524,120.0013638601,178.1478067247,103.3791173748,90.3026741070,619.9609149634,87.5575813309,119.2177125148,148.9126529226,90.4430641337,263.6044574660,126.1816105454,147.3001255681,54.6598136144,405.6040920363,255.3542095106,185.4259069746,146.5054270378,298.6110521296,169.8681506813,1278.5602891440,118.0759878841,156.6166040644
2013-01-23,139.5612467161,4950.4223105855,2.6835950983,1494.7921511576,219.7998859068,61.7493488746,208.8214380455,9.7996718456,55.4390583730,432.3142544400,69.5331542749,687.1001053412,208.2198483854,70.5704052857,208.3018412858,119.2020423559,178.1478067247,101.3672483245,90.5671466315,617.3426788234,86.7873989022,121.1483637292,149.1585862878,90.3413665354,266.3931250649,126.8198394596,150.6906655423,55.1919675718,404.8076541564,255.3542095106,184.9496418027,146.3159259101,297.8885000911,171.7024683545,1273.1484978570,117.2985049976,156.0695036777
2013-01-24,139.5665375759,4337.1195096117,2.6938996324,1525.5120226743,216.6708346548,62.3441324453,210.6178911304,9.9815791288,56.5145008248,434.1561289276,69.8817708190,698.5255190936,207.9147196506,70.0355277469,209.0166725872,119.5630262611,178.0518477667,102.8374603228,91.3311783685,624.8233535142,87.1522221580,121.2361206030,149.8963863849,91.0193505243,265.3756382393,126.7072108274,154.8346588447,55.1702470020,407.0521609132,256.1730126962,186.0609272039,146.9475963345,300.0233129361,174.0018243101,1284.7100519621,118.1097914872,155.3400364952
2013-01-25,140.3268330597,4235.1591224409,2.7012600140,1583.3278244274,218.1395729975,62.8307735486,210.7910432348,10.0072327200,56.8640196216,436.7873781936,70.6423887326,698.3772574364,208.4741223312,70.0689575932,211.3613192564,121.6000068680,177.7639708916,102.9341847964,92.6829268256,625.5714209811,88.0845482556,122.3330815201,152.6016534069,91.5278385161,276.0404075697,127.7208685140,154.7928003259,54.7358356082,405.7488989242,256.6225517005,185.9550904998,145.2841975503,301.2713573688,175.2160909393,1277.7239214022,119.5971500520,155.6318233689
2013-01-28,140.0712940955,4328.2617611298,2.7454223030,1539.0042348476,220.1830350397,62.0737762770,210.2066548817,9.8743004746,56.6220450699,436.1859497884,71.3079294070,695.6529495336,208.4334384999,70.3698262088,210.5035216942,120.2592095063,177.5720529747,101.8315257974,95.3864237396,630.2468426597,87.0103464477,122.5085952669,155.0609870644,90.9854513246,278.0000118285,128.1338401638,159.1879447377,54.3991667781,404.0836197164,251.0193691100,185.7963354416,146.0211463788,299.2350743479,174.5960398952,1264.6864242254,120.1380077120,155.9965569603
2013-01-29,140.7936929995,4412.2178117399,2.7836962869,1494.9036570452,220.7577587390,62.1278475108,210.4663830377,9.8323218708,55.8692353538,440.5838949892,71.3079294070,698.3865237883,207.3858298440,71.1052828245,212.7623886073,121.4968686096,179.5392116263,105.0814681103,90.4789891234,630.2468426597,88.4899074286,122.9035011970,151.7408866281,93.9007824770,282.6352295939,130.1986984148,158.8530765920,54.3665859236,407.4865815733,251.5170730073,186.6430290812,147.1581531419,301.3698871918,173.6142924091,1275.4116105861,120.9492942022,158.6591121754
2013-01-30,140.2805592853,4398.3535098198,2.7726557146,1520.6615166534,223.8229518022,61.5330639402,209.6871985680,9.7833468330,55.3315141279,437.7271100709,70.4522342541,698.5255190907,206.9993334463,71.4395812862,211.8474045424,121.5226531744,179.9230474602,104.7526048998,91.8013517442,630.2468426597,88.1656200904,122.2014462094,151.4949532628,94.0702786168,282.9367071731,129.4478408688,157.0531603086,54.4534682022,406.0385126978,248.8680038736,186.3784373197,146.8633736112,297.7899702663,173.7176342506,1269.3110458660,119.5971500522,159.0603191254
2013-01-31,139.9294608070,4383.7189688649,2.7844323250,1480.2406330762,228.4207413970,61.2086365382,209.7954186323,9.8346540154,55.3046280665,432.8405042923,70.6106963197,700.2490608238,206.5416403437,70.3363963625,211.3613192575,121.3163766576,178.6755809984,103.8627397432,91.0079341711,629.8728089252,87.6589211241,120.5340656144,150.7571531658,93.2837950076,283.2381847510,130.6116700649,157.0113017905,54.8661590264,399.7394130887,253.5239435625,185.6322840110,147.2844872269,295.4909410485,172.8908995250,1275.2148181714,120.0365969007,159.0603191254
2013-02-01,141.3392093252,4368.5067486639,2.8602442546,1477.4529859350,231.5497926490,63.3174146522,212.1113280308,10.0352660281,56.0305517212,437.9150564479,71.6882383641,718.6983704621,208.6877124433,71.4061514406,212.1047438117,123.3791418296,180.1149653780,104.8493293737,87.3640905043,639.5976860234,84.7808709972,122.5524737026,152.1097866776,94.4806178904,286.1022217455,133.3147572286,160.3181247293,55.2571292809,403.7940059402,254.5675162513,187.2311839599,148.4214939908,295.7208439693,173.8726470125,1275.9773887646,122.4704563707,162.5252882424
2013-02-04,139.7111544091,4257.5923331671,2.8109296984,1449.4650086112,224.6531082568,62.0737762776,208.8863700848,9.8463175045,55.9767795985,433.0284506692,70.7057735588,703.3347565107,207.2739493068,70.7375545170,211.9045910472,122.9408042306,179.2033552710,103.5919112166,82.6035850685,633.8001631355,82.7946110500,120.3585518678,149.5274863385,92.9076506730,283.5773470280,132.2635566644,157.9740477100,54.7792767480,403.6491990539,251.5010180419,185.2592073565,146.6107054417,292.7977925350,171.4441137555,1264.9324147468,118.7520599589,162.3793948056
