Date,Top 10 tickers,Top 10 stock indices
2001-07-17,"GE, MSFT, XOM, C, WMT, PFE, TWX, AIG, INTC, IBM","9, 20, 31, 6, 30, 22, 26, 1, 12, 11"
2001-07-18,"GE, MSFT, XOM, C, PFE, WMT, TWX, INTC, AIG, IBM","9, 20, 31, 6, 22, 30, 26, 12, 1, 11"
2001-07-19,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, TWX, IBM","9, 20, 31, 22, 6, 30, 1, 12, 26, 11"
2001-07-20,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-07-23,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-07-24,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, TWX","9, 20, 31, 22, 6, 30, 12, 1, 11, 26"
2001-07-25,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-07-26,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-07-27,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-07-30,"GE, MSFT, XOM, C, PFE, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 6, 22, 30, 12, 26, 1, 11"
2001-07-31,"GE, MSFT, XOM, PFE, WMT, C, INTC, AIG, TWX, IBM","9, 20, 31, 22, 30, 6, 12, 1, 26, 11"
2001-08-01,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-08-02,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 26, 1, 11"
2001-08-03,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 26, 1, 11"
2001-08-06,"GE, MSFT, XOM, C, PFE, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 6, 22, 30, 12, 26, 1, 11"
2001-08-07,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 26, 1, 11"
2001-08-08,"GE, MSFT, XOM, C, PFE, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 6, 22, 30, 12, 26, 1, 11"
